,Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
3633,36.7937,-70.9998,3.0,23.0,2007.0,-0.750988180249795,-4.677740878822915,-2.478129665508975,-2.3892328997197168,-2.833613424077554,-2.8490378944031858,-9.210340371975072,-4.022954566135422,-4.1289360069917125
3634,43.503,-19.337,2.0,15.0,2001.0,-1.0271943600106606,-5.276006906103599,-15.963835420807666,-2.239978718500202,-3.0780586785470305,-3.8152334658707985,-36.7368005696771,-4.916629919725859,-3.47743333174035
3635,40.0,-17.333,2.0,12.0,2001.0,-1.4742516398790322,-4.6073977652014335,-14.567311339367336,-2.8727780979847366,-3.650392587082939,-4.835087250837334,-36.7368005696771,-5.650057364530817,-4.196615123376857
3636,-66.148,-66.321,1.0,31.0,2006.0,1.8009669499789682,-7.2522388440304475,0.43954442176102704,-3.2163789446696107,-36.7368005696771,1.164930475261267,-2.907721396231276,-36.7368005696771,-3.3214624136432986
3637,-67.381,-70.901,1.0,21.0,2001.0,-0.6258063395909317,-19.917203168167568,-36.7368005696771,-1.848712655893246,-0.9557834566192349,1.4159501994299826,-9.453867236294831,-3.5595224119799096,-36.7368005696771
3638,-67.837,-68.131,1.0,22.0,2001.0,0.9184364282203975,-22.610171399692902,-36.7368005696771,-36.7368005696771,-36.7368005696771,2.6358180932349216,-21.518503049950382,-3.5270425491420188,-2.983510563839924
3639,-64.895,-64.178,1.0,14.0,2006.0,-0.20187141603866987,-7.254373032868342,-3.1077817773626113,-3.405205403059691,-3.9220733412816418,-0.9994006385971613,-3.7297014486341866,-6.319968614079956,-3.789805372703892
3640,44.002,-20.399,9.0,10.0,2001.0,-2.425204806541955,-3.096884390291193,-24.824829857798086,-4.790971710853189,-5.890176994715368,-36.7368005696771,-36.7368005696771,-36.7368005696771,-3.1451716788841466
3641,-64.695,-65.037,1.0,7.0,2006.0,0.3371148872199312,-8.18077156849061,-1.2053070273390722,-3.7009520353482013,-3.29683736633791,0.06728474680559668,-3.1535563587475557,-3.821268642159677,-5.035953102080528
3642,-76.501,169.0023,12.0,11.0,1997.0,2.4044103670426193,-9.798286666742754,-36.7368005696771,1.9905010323831884,-3.2701691192557485,0.1816546678062511,-36.7368005696771,-1.915283955513552,-36.7368005696771
3643,22.8,-158.0,4.0,19.0,2001.0,-2.0874737133770993,-3.35240721749272,-4.710530701645905,-4.422848629194127,-5.115995809754064,-4.828313737302287,-6.907755278982026,-21.879781831895567,-2.6036901857779657
3644,31.726,-64.22,2.0,19.0,1994.0,-1.5654210270173257,-4.84308258528547,-3.863232841258709,-2.7488721956224635,-4.074541934925914,-4.268697949366871,-36.7368005696771,-5.5214609178622185,-3.746235476442392
3645,31.592,-64.21,7.0,19.0,1996.0,-2.7646205525906025,-5.659158818307113,-36.7368005696771,-4.422848629194127,-5.80914299031399,-5.5214609178622185,-36.7368005696771,-6.214608098422136,-3.7297014486341866
